TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,NO,CAR,SF,SEA,TEN,IND,GB,Bye,DAL,SEA,SF,JAX,TB,LAR,HOU,ATL,CIN,LAR
ATL,TB,MIN,CAR,WAS,Bye,BUF,SF,MIA,NE,IND,CAR,NO,NYJ,SEA,TB,ARI,LAR,NO
BAL,BUF,CLE,DET,KC,HOU,LAR,Bye,CHI,MIA,MIN,CLE,NYJ,CIN,PIT,CIN,NE,GB,PIT
BUF,BAL,NYJ,MIA,NO,NE,ATL,Bye,CAR,KC,MIA,TB,HOU,PIT,CIN,NE,CLE,PHI,NYJ
CAR,JAX,ARI,ATL,NE,MIA,DAL,NYJ,BUF,GB,NO,ATL,SF,LAR,Bye,NO,TB,SEA,TB
CHI,MIN,DET,DAL,LV,Bye,WAS,NO,BAL,CIN,NYG,MIN,PIT,PHI,GB,CLE,GB,SF,DET
CIN,CLE,JAX,MIN,DEN,DET,GB,PIT,NYJ,CHI,Bye,PIT,NE,BAL,BUF,BAL,MIA,ARI,CLE
CLE,CIN,BAL,GB,DET,MIN,PIT,MIA,NE,Bye,NYJ,BAL,LV,SF,TEN,CHI,BUF,PIT,CIN
DAL,PHI,NYG,CHI,GB,NYJ,CAR,WAS,DEN,ARI,Bye,LV,PHI,KC,DET,MIN,LAC,WAS,NYG
DEN,TEN,IND,LAC,CIN,PHI,NYJ,NYG,DAL,HOU,LV,KC,Bye,WAS,LV,GB,JAX,KC,LAC
DET,GB,CHI,BAL,CLE,CIN,KC,TB,Bye,MIN,WAS,PHI,NYG,GB,DAL,LAR,PIT,MIN,CHI
GB,DET,WAS,CLE,DAL,Bye,CIN,ARI,PIT,CAR,PHI,NYG,MIN,DET,CHI,DEN,CHI,BAL,MIN
HOU,LAR,TB,JAX,TEN,BAL,Bye,SEA,SF,DEN,JAX,TEN,BUF,IND,KC,ARI,LV,LAC,IND
IND,MIA,DEN,TEN,LAR,LV,ARI,LAC,TEN,PIT,ATL,Bye,KC,HOU,JAX,SEA,SF,JAX,HOU
JAC,CAR,CIN,HOU,SF,KC,SEA,LAR,Bye,LV,HOU,LAC,ARI,TEN,IND,NYJ,DEN,IND,TEN
KC,LAC,PHI,NYG,BAL,JAX,DET,LV,WAS,BUF,Bye,DEN,IND,DAL,HOU,LAC,TEN,DEN,LV
LAC,KC,LV,DEN,NYG,WAS,MIA,IND,MIN,TEN,PIT,JAX,Bye,LV,PHI,KC,DAL,HOU,DEN
LAR,HOU,TEN,PHI,IND,SF,BAL,JAX,Bye,NO,SF,SEA,TB,CAR,ARI,DET,SEA,ATL,ARI
LV,NE,LAC,WAS,CHI,IND,TEN,KC,Bye,JAX,DEN,DAL,CLE,LAC,DEN,PHI,HOU,NYG,KC
MIA,IND,NE,BUF,NYJ,CAR,LAC,CLE,ATL,BAL,BUF,WAS,Bye,NO,NYJ,PIT,CIN,TB,NE
MIN,CHI,ATL,CIN,PIT,CLE,Bye,PHI,LAC,DET,BAL,CHI,GB,SEA,WAS,DAL,NYG,DET,GB
NE,LV,MIA,PIT,CAR,BUF,NO,TEN,CLE,ATL,TB,NYJ,CIN,NYG,Bye,BUF,BAL,NYJ,MIA
NO,ARI,SF,SEA,BUF,NYG,NE,CHI,TB,LAR,CAR,Bye,ATL,MIA,TB,CAR,NYJ,TEN,ATL
NYG,WAS,DAL,KC,LAC,NO,PHI,DEN,PHI,SF,CHI,GB,DET,NE,Bye,WAS,MIN,LV,DAL
NYJ,PIT,BUF,TB,MIA,DAL,DEN,CAR,CIN,Bye,CLE,NE,BAL,ATL,MIA,JAX,NO,NE,BUF
PHI,DAL,KC,LAR,TB,DEN,NYG,MIN,NYG,Bye,GB,DET,DAL,CHI,LAC,LV,WAS,BUF,WAS
PIT,NYJ,SEA,NE,MIN,Bye,CLE,CIN,GB,IND,LAC,CIN,CHI,BUF,BAL,MIA,DET,CLE,BAL
SEA,SF,PIT,NO,ARI,TB,JAX,HOU,Bye,WAS,ARI,LAR,TEN,MIN,ATL,IND,LAR,CAR,SF
SF,SEA,NO,ARI,JAX,LAR,TB,ATL,HOU,NYG,LAR,ARI,CAR,CLE,Bye,TEN,IND,CHI,SEA
TB,ATL,HOU,NYJ,PHI,SEA,SF,DET,NO,Bye,NE,BUF,LAR,ARI,NO,ATL,CAR,MIA,CAR
TEN,DEN,LAR,IND,HOU,ARI,LV,NE,IND,LAC,Bye,HOU,SEA,JAX,CLE,SF,KC,NO,JAX
WAS,NYG,GB,LV,ATL,LAC,CHI,DAL,KC,SEA,DET,MIA,Bye,DEN,MIN,NYG,PHI,DAL,PHI
